
2022/06/11 (23:34:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/12 (16:53:03) | ===> btop++ v.1.0.13
2022/06/12 (16:53:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/13 (00:59:24) | ===> btop++ v.1.0.13
2022/06/13 (00:59:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/15 (21:04:32) | ===> btop++ v.1.0.13
2022/06/15 (21:04:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/16 (18:21:30) | ===> btop++ v.1.0.13
2022/06/16 (18:21:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/17 (17:28:20) | ===> btop++ v.1.0.13
2022/06/17 (17:28:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/18 (18:30:42) | ===> btop++ v.1.0.13
2022/06/18 (18:30:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/19 (16:02:57) | ===> btop++ v.1.0.13
2022/06/19 (16:02:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/20 (17:18:15) | ===> btop++ v.1.0.13
2022/06/20 (17:18:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/20 (17:27:43) | ===> btop++ v.1.0.13
2022/06/20 (17:27:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/20 (20:19:14) | ===> btop++ v.1.0.13
2022/06/20 (20:19:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/20 (20:32:11) | ===> btop++ v.1.0.13
2022/06/20 (20:32:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/20 (20:47:50) | ===> btop++ v.1.0.13
2022/06/20 (20:47:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/21 (16:01:20) | ===> btop++ v.1.0.13
2022/06/21 (16:01:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/21 (16:54:02) | ===> btop++ v.1.0.13
2022/06/21 (16:54:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/22 (13:02:41) | ===> btop++ v.1.0.13
2022/06/22 (13:02:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/22 (20:38:15) | ===> btop++ v.1.0.13
2022/06/22 (20:38:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/06/23 (12:49:50) | ===> btop++ v.1.0.13
2022/06/23 (12:49:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/10 (01:24:19) | ===> btop++ v.1.2.8
2022/07/10 (01:24:19) | ERROR: Stall in Runner thread, restarting!

2022/07/11 (19:18:42) | ===> btop++ v.1.2.8
2022/07/11 (19:18:42) | ERROR: Stall in Runner thread, restarting!

2022/07/13 (19:24:00) | ===> btop++ v.1.2.8
2022/07/13 (19:24:00) | ERROR: Stall in Runner thread, restarting!

2022/07/18 (07:52:32) | ===> btop++ v.1.2.8
2022/07/18 (07:52:32) | ERROR: Stall in Runner thread, restarting!

2022/08/22 (15:05:21) | ===> btop++ v.1.2.8
2022/08/22 (15:05:21) | ERROR: Stall in Runner thread, restarting!

2022/08/25 (23:58:11) | ===> btop++ v.1.2.8
2022/08/25 (23:58:11) | ERROR: Stall in Runner thread, restarting!
